"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_HD.P_GET_PARAS_FOR_STATUS_CHANGE_FOR_AUTHORIZE","PKG_HD","P_GET_PARAS_FOR_STATUS_CHANGE_FOR_AUTHORIZE","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AU_PARAS_STATUS_CHANGE_LOG","AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AU_PARAS_STATUS_CHANGE_LOG",""
"PKG_HD.P_AUTHORIZE_PARAS_FOR_STATUS","PKG_HD","P_AUTHORIZE_PARAS_FOR_STATUS","T_CURSOR; T_AU_PARAS_STATUS_CHANGE_LOG; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE","T_AU_PARAS_STATUS_CHANGE_LOG; DUAL; AIS_T_AU_POST_COMPLIANCE; FRONTEND","PARA; T_AU_OBSERVATION; T_AU_OLD_PARAS_FAD; T_AU_OBSERVATION_OLD_CAD_PARAS; AIS_T_AU_POST_COMPLIANCE; CHANGE; T_AU_PARAS_STATUS_CHANGE_LOG"
"PKG_HD.P_INSERT_SBP_OBSERVATION","PKG_HD","P_INSERT_SBP_OBSERVATION","T_HD_SBP_OBSERVATION","","T_HD_SBP_OBSERVATION"
"PKG_HD.P_INSERT_SBP_RESPONSE","PKG_HD","P_INSERT_SBP_RESPONSE","T_HD_SBP_OBS_RESPONSE","","T_HD_SBP_OBS_RESPONSE"
"PKG_HD.P_GET_SBP_REGISTER","PKG_HD","P_GET_SBP_REGISTER","T_HD_SBP_OBSERVATION; T_HD_SBP_OBS_RESPONSE","T_HD_SBP_OBSERVATION; T_HD_SBP_OBS_RESPONSE",""
"PKG_HD.P_GET_SBP_HISTORY","PKG_HD","P_GET_SBP_HISTORY","T_HD_SBP_OBSERVATION; T_HD_SBP_OBS_RESPONSE","T_HD_SBP_OBSERVATION; T_HD_SBP_OBS_RESPONSE",""
"PKG_HD.P_VALIDATE_SBP_PASSWORD","PKG_HD","P_VALIDATE_SBP_PASSWORD","T_HD_SBP_SECURE_ACCESS","T_HD_SBP_SECURE_ACCESS",""
"PKG_HD.P_UPDATE_CAD_PASSWROD","PKG_HD","P_UPDATE_CAD_PASSWROD","T_HD_SBP_SECURE_ACCESS","","T_HD_SBP_SECURE_ACCESS"
"PKG_HD.P_UPDATE_SBP_OBSERVATION","PKG_HD","P_UPDATE_SBP_OBSERVATION","V_EXISTS; T_HD_SBP_OBSERVATION","T_HD_SBP_OBSERVATION","T_HD_SBP_OBSERVATION; OR"
"PKG_HD.P_UPDATE_SBP_RESPONSE","PKG_HD","P_UPDATE_SBP_RESPONSE","T_HD_SBP_OBSERVATION; V_EXISTS; T_HD_SBP_OBS_RESPONSE","T_HD_SBP_OBSERVATION; T_HD_SBP_OBS_RESPONSE","EXISTING; T_HD_SBP_OBS_RESPONSE"
"PKG_HD.P_GET_SBP_OBS_TYPES","PKG_HD","P_GET_SBP_OBS_TYPES","T_HD_SBP_OBS_TYPES","T_HD_SBP_OBS_TYPES",""
"PKG_HD.P_REQUEST_DELETE_OBSERVATION","PKG_HD","P_REQUEST_DELETE_OBSERVATION","V_EXISTS; V_SNAP; T_HD_SBP_OBSERVATION; T_HD_ACTION_REQUEST","T_HD_SBP_OBSERVATION","T_HD_ACTION_REQUEST"
