"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_GET_ENTITY_TYPE_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","GetComplianceFlowByEntityType","AD","T_AUDITEE_ENT_TYPES; T_GROUPS; T_AU_OBSERVATION_STATUS; T_AU_POST_COMPLIANCE_FLOW","","T_CURSOR; T_AUDITEE_ENT_TYPES; T_GROUPS; T_AU_OBSERVATION_STATUS; T_AU_POST_COMPLIANCE_FLOW","True"
"PKG_AD.P_ADD_UPDATE_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","AddComplianceFlow","AD","T_AU_POST_COMPLIANCE_FLOW; DUAL","T_AU_POST_COMPLIANCE_FLOW; SET","T_CURSOR; T_AU_POST_COMPLIANCE_FLOW","True"
"PKG_AD.P_UPDATE_COMPLIANCE_FLOW","PKG_AD","Confirmed Active","UpdateComplianceFlow","AD","","","","False"
"PKG_AD.P_AUDIT_TEAM_POSTCHANGES","PKG_AD","Confirmed Active","SubmitNewTeamIdForPostChangesTeamEngReversal","AD","T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; DUAL","T_AU_AUDIT_TEAMS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PLAN_ENG","T_CURSOR; T_AU_AUDIT_TEAMS; T_NAME; T_CODE; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_AUDIT_ENGAGEMENT_REVERSAL","PKG_AD","Confirmed Active","AuditEngagementStatusReversal","AD","T_AU_PLAN_ENG; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG; DUAL","T_AU_PLAN; T_AU_PLAN_ENG; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG","T_CURSOR; V_F; T_AU_PLAN_ENG; T_AU_PLAN; T_AU_AUDIT_TEAM_TASKLIST; T_AU_AUDIT_TEAMS; T_AU_PLAN_ENG_LOG","True"
"PKG_AD.P_GET_OBSERVVATION_NO","PKG_AD","Confirmed Active","GetObservationNumbersForStatusReversal","AD","T_AU_OBSERVATION","","T_CURSOR; T_AU_OBSERVATION","True"
"PKG_AD.P_UPDATE_OBSERVATION_NO","PKG_AD","Confirmed Active","UpdateObservationNumbersForStatusReversal","AD","DUAL","T_AU_OBSERVATION","M_NO; T_CURSOR; T_AU_OBSERVATION","True"
"PKG_AD.P_UPDATE_ENG_DATE","PKG_AD","Confirmed Active","UpdateEngagementDatesForStatusReversal","AD","DUAL","T_AU_PLAN_ENG","T_CURSOR; T_AU_PLAN_ENG","True"
"PKG_AD.P_GET_HR_DESIGNATION_RIGHT","PKG_AD","Confirmed Active","GetHRDesignationWiseRoles","AD","T_GROUP_RIGHTS","","T_CURSOR; T_GROUP_RIGHTS","True"
"PKG_AD.P_ADD_HR_DESIGNATION_RIGHT","PKG_AD","Confirmed Active","AddHRDesignationWiseRoleAssignment","AD","T_GROUP_RIGHTS; T_HR_DESIGNATIONS; DUAL","T_GROUP_RIGHTS","T_CURSOR; T_GROUP_RIGHTS; T_HR_DESIGNATIONS; T_GROUPS","True"
