page_key,page_key,view_name,controller_name,action_name,http_method,call_type,source_type,confidence_level,Api Path,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis_detail.cshtml,ApiCalls,get_bac_analysis,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_bac_analysis,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis.cshtml,ApiCalls,get_bac_analysis,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_bac_analysis,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis.cshtml,ApiCalls,get_functional_observation_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_observation_text,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis.cshtml,ApiCalls,get_analysis_detail_paras,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_analysis_detail_paras,
,MULTIPLE_OR_UNKNOWN,BAC/cia_analysis.cshtml,ApiCalls,get_analysis_summary_paras,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_analysis_summary_paras,
226,226,RiskAssessment/risk_assessment_ent_types.cshtml,ApiCalls,get_auditee_risk_for_entity_types,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_auditee_risk_for_entity_types,
62,62,RiskAssessment/inherited_risk_dept.cshtml,ApiCalls,GetCOSORiskForDepartment,POST,AJAX,VIEW,MEDIUM, /ApiCalls/GetCOSORiskForDepartment,
66,66,RiskAssessment/inherited_risk_branches.cshtml,ApiCalls,GetCOSORiskForBranches,POST,AJAX,VIEW,MEDIUM, /ApiCalls/GetCOSORiskForBranches,
,MULTIPLE_OR_UNKNOWN,RiskAssessment/risk_assessment_divisions.cshtml,Reports,Get_Glhead_Sub_Details,POST,AJAX,VIEW,MEDIUM, /Reports/Get_Glhead_Sub_Details,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,getparentrel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getparentrel,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,getpostplace,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplace,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,get_engagements_details_for_status_reversal,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_engagements_details_for_status_reversal,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,generate_traditional_risk_rating_of_engagement,POST,AJAX,VIEW,MEDIUM, /ApiCalls/generate_traditional_risk_rating_of_engagement,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,view_traditional_risk_rating_of_engagement,POST,AJAX,VIEW,MEDIUM, /ApiCalls/view_traditional_risk_rating_of_engagement,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,generate_annexure_risk_rating_of_engagement,POST,AJAX,VIEW,MEDIUM, /ApiCalls/generate_annexure_risk_rating_of_engagement,
271,271,RiskAssessment/risk_rating_annex_wise.cshtml,ApiCalls,view_annexure_risk_rating_of_engagement,POST,AJAX,VIEW,MEDIUM, /ApiCalls/view_annexure_risk_rating_of_engagement,
2,2,RiskAssessment/risk_assessment_entities.cshtml,ApiCalls,getparentrel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getparentrel,
2,2,RiskAssessment/risk_assessment_entities.cshtml,ApiCalls,getpostplace,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplace,
2,2,RiskAssessment/risk_assessment_entities.cshtml,ApiCalls,get_auditee_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_auditee_engagement_plan,
2,2,RiskAssessment/risk_assessment_entities.cshtml,ApiCalls,get_auditee_risk,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_auditee_risk,
2,2,RiskAssessment/risk_assessment_entities.cshtml,ApiCalls,get_auditee_risk_details,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_auditee_risk_details,
,MULTIPLE_OR_UNKNOWN,RiskAssessment/risk_rating_for_branches_working.cshtml,ApiCalls,getparentrel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getparentrel,
,MULTIPLE_OR_UNKNOWN,RiskAssessment/risk_rating_for_branches_working.cshtml,ApiCalls,getpostplace,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplace,
,MULTIPLE_OR_UNKNOWN,RiskAssessment/risk_rating_for_branches_working.cshtml,ApiCalls,get_risk_rating_model_for_branches_working,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_risk_rating_model_for_branches_working,
,MULTIPLE_OR_UNKNOWN,RiskAssessment/risk_rating_for_branches_working.cshtml,ApiCalls,generate_traditional_risk_rating_of_engagement,POST,AJAX,VIEW,MEDIUM, /ApiCalls/generate_traditional_risk_rating_of_engagement,
